Class	Order	Family	Genus	species	Genus_species	Gaspar_code	Size_cm	Geo_range	Diet_level	Home_range	Activity	Level_water	Schooling
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	fasciata	amblyeleotris_fasciata	7229	8	41	IM	Sed	Day	Bottom	Pair
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	fontanesii	amblyeleotris_fontanesii	7230	25	28	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	guttata	amblyeleotris_guttata	6671	11	36	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	gymnocephala	amblyeleotris_gymnocephala	11614	14	27	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	harrisorum	amblyeleotris_harrisorum	61004	7,5	1	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	japonica	amblyeleotris_japonica	6520	7,4	5	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	latifasciata	amblyeleotris_latifasciata	47046	13	14	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	marquesas	amblyeleotris_marquesas	61005	8,5	1	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	neumanni	amblyeleotris_neumanni	64545	5,49	2	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	novaecaledoniae	amblyeleotris_novaecaledoniae	27552	9,5	4	IM	Sed	Day	Bottom	Pair
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	ogasawarensis	amblyeleotris_ogasawarensis	12697	10	15	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	periophthalma	amblyeleotris_periophthalma	7231	11	52	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	randalli	amblyeleotris_randalli	7232	12	22	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	rhyax	amblyeleotris_rhyax	47039	7	8	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	perciformes	gobiidae	amblyeleotris	rubrimarginata	amblyeleotris_rubrimarginata	61007	11	15	IM	Sed	Day	Bottom	Sol
